id,name,type_tax_use,amount_type,sequence,amount,description,l10n_ec_code_base,l10n_ec_code_applied,tax_group_id,l10n_ec_code_ats,name,descripcion,invoice_label@es,invoice_label,active
tax_vat_15_411_goods,VAT 15% G,sale,percent,5,15,"VAT 15% (411 Goods)",411,421,tax_group_vat_15,,"IVA 15% (411 B)","IVA 15% (411 Bienes)",IVA 15%,VAT 15% G,True
tax_vat_15_411_services,VAT 15% S,sale,percent,5,15,"VAT 15% (411 Services)",411,421,tax_group_vat_15,,"IVA 15% (411 S)","IVA 15% (411 Servicios)",IVA 15%,VAT 15% S,True
tax_vat_15_412,VAT 15% assets,sale,percent,5,15,"VAT 15% (412 Assets)",412,422,tax_group_vat_15,,"IVA 15% (412 A)","IVA 15% (412 Activos)",IVA 15%,VAT 15% assets,True
tax_vat_15_444,VAT 15% REIMB,sale,percent,115,15,"VAT 15% (444 Reimbursement)",444,454,tax_group_vat_15,,"IVA 15% (444 Reemb)","IVA 15% (444 Reembolsos)",IVA 15%,VAT 15% REIMB,True
tax_vat_15_510_sup_01,VAT 15% 510 01,purchase,percent,5,15,"VAT 15% (510 01 VAT Credit)",510,520,tax_group_vat_15,,"IVA 15% (510 01 Créd)","IVA 15% (510 01 Crédito IVA)",IVA 15%,VAT 15% 510 01,True
tax_vat_15_510_sup_05,VAT 15% 510 05 S T E IR,purchase,percent,5,15,"VAT 15% (510 05 Settlement Trip Expense IR)",510,520,tax_group_vat_15,,"IVA 15% (510 05 Liq. V G IR)","IVA 15% (510 05 Liq. Viaje Gasto IR)",IVA 15%,VAT 15% 510 05 S T E IR,True
tax_vat_15_510_sup_06,VAT 15% 510 06 I,purchase,percent,5,15,"VAT 15% (510 06 Inventory VAT Credit)",510,520,tax_group_vat_15,,"IVA 15% (510 06 Inv Créd)","IVA 15% (510 06 Inventario Crédito IVA)",IVA 15%,VAT 15% 510 06 I,True
tax_vat_15_510_sup_15,VAT 15% 511 15 D S,purchase,percent,5,15,"VAT 15% (510 15 Digital Services)",510,520,tax_group_vat_15,,"IVA 15% (510 15 Serv Dig)","IVA 15% (510 15 Servicios Digitales)",IVA 15%,VAT 15% 511 15 D S,True
tax_vat_15_511_sup_03,VAT 15% 511 03 assets,purchase,percent,6,15,"VAT 15% (511 03 VAT Credit Assets)",511,521,tax_group_vat_15,,"IVA 15% (511 03 A Créd)","IVA 15% (511 03 Activos Crédito IVA)",IVA 15%,VAT 15% 511 03 assets,True
tax_vat_15_512_sup_04,VAT 15% 512 04 Assets IR C,purchase,percent,6,15,"VAT 15% (512 04 Assets IR Cost)",512,522,tax_group_vat_15,,"IVA 15% (512 04 Act. Costo IR)","IVA 15% (512 04 Activos Costo IR)",IVA 15%,VAT 15% 512 04 Assets IR C,True
tax_vat_15_512_sup_05,VAT 15% 512 05 S T E IR,purchase,percent,6,15,"VAT 15% (512 05 Settlement Trip Expense IR)",512,522,tax_group_vat_15,,"IVA 15% (512 05 Liq. Viaje G. IR)","IVA 15% (512 05 Liq. Viaje Gasto IR)",IVA 15%,VAT 15% 512 05 S T E IR,True
tax_vat_15_512_sup_07,VAT 15% 512 07 I C IR,purchase,percent,6,15,"VAT 15% (512 07 Inventory Cost IR)",512,522,tax_group_vat_15,,"IVA 15% (512 07 Inv. Costo IR)","IVA 15% (512 07 Inventario Costo IR)",IVA 15%,VAT 15% 512 07 I C IR,True
tax_vat_15_513_sup_01,VAT 15% 513 01,purchase,percent,6,15,"VAT 15% (513 01 VAT Credit)",513,523,tax_group_vat_15,,"IVA 15% (513 01 Créd)","IVA 15% (513 01 Crédito IVA)",IVA 15%,VAT 15% 513 01,True
tax_vat_15_514_sup_06,VAT 15% 514 06 I,purchase,percent,6,15,"VAT 15% (514 06 Inventory VAT Credit)",514,524,tax_group_vat_15,,"IVA 15% (514 06 Inv. Créd)","IVA 15% (514 06 Inventario Crédito IVA)",IVA 15%,VAT 15% 514 06 I,True
tax_vat_15_515_sup_03,VAT 15% 515 03 assets,purchase,percent,6,15,"VAT 15% (515 03 VAT Credit Assets)",515,525,tax_group_vat_15,,"IVA 15% (515 03 A. Créd)","IVA 15% (515 03 Activos Crédito IVA)",IVA 15%,VAT 15% 515 03 assets,True
tax_vat_15_545_sup_08,VAT 15% 545 08 REIMB,purchase,percent,6,15,"VAT 15% (545 08 Reimbursement)",545,555,tax_group_vat_15,,"IVA 15% (545 08 Reemb)","IVA 15% (545 08 Reembolso)",IVA 15%,VAT 15% 545 08 REIMB,True
tax_vat_15_545_sup_09,VAT 15% 545 09 REIMB S,purchase,percent,6,15,"VAT 15% (545 09 Reimbursement Sinister)",545,555,tax_group_vat_15,,"IVA 15% (545 09 Reemb Sinies)","IVA 15% (545 09 Reembolso Siniestro)",IVA 15%,VAT 15% 545 09 REIMB S,True
tax_withhold_profit_sale_15x100,15% WTH,none,percent,70,-15,15% Withholding Taxes,,,tax_group_withhold_income_sale,,15% Ret. de la Fuente,15% Retenciones de la Fuente,15%,15% WTH,True
