id,name,l10n_ec_type,sequence,country_id,tax_payable_account_id,tax_receivable_account_id,name_es
tax_group_vat_05,VAT 5%,vat05,3,base.ec,ec_vat_tax_deduction,ec_vat_tax_credit,IVA 5%
tax_group_vat_08,VAT 8%,vat08,5,base.ec,ec_vat_tax_deduction,ec_vat_tax_credit,IVA 8%
tax_group_vat_13,VAT 13%,vat13,15,base.ec,ec_vat_tax_deduction,ec_vat_tax_credit,IVA 13%
tax_group_vat14,VAT 14%,vat14,20,base.ec,ec_vat_tax_deduction,ec_vat_tax_credit,IVA 14%
tax_group_vat_15,VAT 15%,vat15,25,base.ec,ec_vat_tax_deduction,ec_vat_tax_credit,IVA 15%
tax_group_vat_not_charged,Non-Subject VAT,not_charged_vat,40,base.ec,ec_vat_tax_deduction,ec_vat_tax_credit,IVA no cobrado
tax_group_vat_exempt,Exempt VAT,exempt_vat,50,base.ec,ec_vat_tax_deduction,ec_vat_tax_credit,Exento de IVA
tax_group_irbpnr,Plastic Bottles (IRBPNR),irbpnr,70,base.ec,ec_irbpnr_tax_deduction,ec_irbpnr_tax_deduction,Botellas de plástico (IRBPNR)
tax_group_withhold_vat_sale,Sales Withholding VAT,withhold_vat_sale,80,base.ec,ec_vat_tax_deduction,ec_withhold_tax_credit,Retención IVA en Ventas
tax_group_withhold_vat_purchase,Purchase Withholding VAT,withhold_vat_purchase,80,base.ec,ec_vat_tax_deduction,ec_withhold_tax_credit,Retención IVA en Compras
tax_group_withhold_income_sale,Sale Profit Withhold,withhold_income_sale,90,base.ec,ec_profit_tax_deduction,ec_profit_tax_credit,Retención Renta en Ventas
tax_group_withhold_income_purchase,Purchase Profit Withhold,withhold_income_purchase,95,base.ec,ec_profit_tax_deduction,ec_profit_tax_credit,
